time,close,hashrate,difficulty,month,year,week_date,reward
2020-07-11,9237.13,122388019.776021,15784217546288.2,7,2020,2020-07-17,900.0
2020-07-12,9300.95,124886509.62928,15784217546288.2,7,2020,2020-07-17,900.0
2020-07-13,9237.89,120843386.76509,16570395220715.8,7,2020,2020-07-17,900.0
2020-07-14,9256.07,124614472.546588,17345948872516.1,7,2020,2020-07-17,900.0
2020-07-15,9193.22,119755699.866237,17345948872516.1,7,2020,2020-07-17,900.0
2020-07-16,9133.23,117107439.44609,17345948872516.1,7,2020,2020-07-17,900.0
2020-07-17,9156.79,102244324.188156,17345948872516.1,7,2020,2020-07-17,900.0
2020-07-18,9177.22,113562136.919167,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-19,9216.02,115748650.177725,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-20,9164.42,122244695.181447,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-21,9392.83,108837699.637926,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-22,9537.24,125301865.22415,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-23,9615.21,116590214.016838,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-24,9550.23,140057871.176472,17345948872516.1,7,2020,2020-07-24,900.0
2020-07-25,9708.41,121938800.648919,17345948872516.1,7,2020,2020-07-31,900.0
2020-07-26,9942.01,137713335.657222,17345948872516.1,7,2020,2020-07-31,900.0
2020-07-27,11042.94,129471926.706265,17309155182109.2,7,2020,2020-07-31,900.0
2020-07-28,10933.26,123810888.485002,16847561611550.3,7,2020,2020-07-31,900.0
2020-07-29,11112.04,127381679.230051,16847561611550.3,7,2020,2020-07-31,900.0
2020-07-30,11113.66,115698199.44419,16847561611550.3,7,2020,2020-07-31,900.0
2020-07-31,11352.72,129019781.966978,16847561611550.3,7,2020,2020-07-31,900.0
2020-08-01,11812.42,116629011.767258,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-02,11063.5,117988349.03101,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-03,11234.73,136241985.152107,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-04,11194.18,121600211.975975,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-05,11752.05,109033220.075883,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-06,11771.27,131674347.267343,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-07,11603.82,127195160.1474,16847561611550.3,8,2020,2020-08-07,900.0
2020-08-08,11770.77,119930428.173693,16847561611550.3,8,2020,2020-08-14,900.0
2020-08-09,11686.34,133823619.514829,16847561611550.3,8,2020,2020-08-14,900.0
2020-08-10,11897.41,115178600.108067,16871707187018.0,8,2020,2020-08-14,900.0
2020-08-11,11389.01,130876188.786604,16947802333946.6,8,2020,2020-08-14,900.0
2020-08-12,11570.19,131566946.923648,16947802333946.6,8,2020,2020-08-14,900.0
2020-08-13,11790.68,124601393.903841,16947802333946.6,8,2020,2020-08-14,900.0
2020-08-14,11774.52,140462924.564307,16947802333946.6,8,2020,2020-08-14,900.0
2020-08-15,11860.91,133953361.728696,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-16,11917.97,129324964.951987,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-17,12301.19,107049573.493267,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-18,11956.69,117306995.746239,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-19,11760.37,117105843.118302,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-20,11863.43,127666677.520945,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-21,11527.35,134077692.289542,16947802333946.6,8,2020,2020-08-21,900.0
2020-08-22,11670.42,115192008.429031,16947802333946.6,8,2020,2020-08-28,900.0
2020-08-23,11651.52,132164157.162483,16947802333946.6,8,2020,2020-08-28,900.0
2020-08-24,11756.4,131835062.118917,17340945336075.4,8,2020,2020-08-28,900.0
2020-08-25,11330.56,112154365.643774,17557993035167.3,8,2020,2020-08-28,900.0
2020-08-26,11466.89,125893343.921276,17557993035167.3,8,2020,2020-08-28,900.0
2020-08-27,11331.02,112414794.578625,17557993035167.3,8,2020,2020-08-28,900.0
2020-08-28,11535.21,145171092.543928,17557993035167.3,8,2020,2020-08-28,900.0
2020-08-29,11480.48,127782403.719309,17557993035167.3,8,2020,2020-09-04,900.0
2020-08-30,11716.54,110406297.08291,17557993035167.3,8,2020,2020-09-04,900.0
2020-08-31,11657.81,130555276.529907,17557993035167.3,8,2020,2020-09-04,900.0
2020-09-01,11926.69,137021363.316005,17557993035167.3,9,2020,2020-09-04,900.0
2020-09-02,11397.9,125863977.2092,17557993035167.3,9,2020,2020-09-04,900.0
2020-09-03,10174.62,115068172.892834,17557993035167.3,9,2020,2020-09-04,900.0
2020-09-04,10467.33,118094086.416708,17557993035167.3,9,2020,2020-09-04,900.0
2020-09-05,10167.97,123720214.94037,17557993035167.3,9,2020,2020-09-11,900.0
2020-09-06,10260.37,133951335.485694,17557993035167.3,9,2020,2020-09-11,900.0
2020-09-07,10379.08,151623204.327115,17445332713343.6,9,2020,2020-09-11,900.0
2020-09-08,10128.54,134004648.225408,17345997805929.1,9,2020,2020-09-11,900.0
2020-09-09,10228.85,128846894.622928,17345997805929.1,9,2020,2020-09-11,900.0
2020-09-10,10345.68,136702945.781932,17345997805929.1,9,2020,2020-09-11,900.0
2020-09-11,10398.5,120203125.403476,17345997805929.1,9,2020,2020-09-11,900.0
2020-09-12,10448.0,147477344.904233,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-13,10332.36,140875696.41856,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-14,10678.31,151494147.411885,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-15,10786.7,134898442.330877,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-16,10957.1,135201639.980612,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-17,10945.14,153627160.399053,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-18,10937.89,144751986.2102,17345997805929.1,9,2020,2020-09-18,900.0
2020-09-19,11083.61,129278957.513361,17345997805929.1,9,2020,2020-09-25,900.0
2020-09-20,10921.85,137239137.49871,19148290888758.9,9,2020,2020-09-25,900.0
2020-09-21,10418.14,141668596.587168,19314656404097.0,9,2020,2020-09-25,900.0
2020-09-22,10534.73,123175507.817428,19314656404097.0,9,2020,2020-09-25,900.0
2020-09-23,10238.09,137004629.927489,19314656404097.0,9,2020,2020-09-25,900.0
2020-09-24,10742.98,133371058.293601,19314656404097.0,9,2020,2020-09-25,900.0
2020-09-25,10694.12,162395009.904151,19314656404097.0,9,2020,2020-09-25,900.0
2020-09-26,10734.23,144372093.917794,19314656404097.0,9,2020,2020-10-02,900.0
2020-09-27,10781.47,147325239.11732,19314656404097.0,9,2020,2020-10-02,900.0
2020-09-28,10699.0,126429936.553728,19314656404097.0,9,2020,2020-10-02,900.0
2020-09-29,10841.29,135710281.409595,19314656404097.0,9,2020,2020-10-02,900.0
2020-09-30,10779.42,149940548.379761,19314656404097.0,9,2020,2020-10-02,900.0
2020-10-01,10622.79,118997569.139739,19314656404097.0,10,2020,2020-10-02,900.0
2020-10-02,10576.64,132191923.493531,19314656404097.0,10,2020,2020-10-02,900.0
2020-10-03,10552.04,146556417.623945,19314656404097.0,10,2020,2020-10-09,900.0
2020-10-04,10675.52,151827559.735041,19300708897945.3,10,2020,2020-10-09,900.0
2020-10-05,10795.11,137159265.382208,19298087186262.6,10,2020,2020-10-09,900.0
2020-10-06,10603.9,124208548.603724,19298087186262.6,10,2020,2020-10-09,900.0
2020-10-07,10672.67,147141227.30402,19298087186262.6,10,2020,2020-10-09,900.0
2020-10-08,10929.4,155164172.78432,19298087186262.6,10,2020,2020-10-09,900.0
2020-10-09,11058.78,135939701.302664,19298087186262.6,10,2020,2020-10-09,900.0
2020-10-10,11301.57,137071225.462416,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-11,11375.51,133997450.706676,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-12,11539.76,147522382.768781,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-13,11427.29,159150571.984016,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-14,11429.3,147378819.885773,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-15,11508.31,147932582.143107,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-16,11326.25,150676243.485824,19298087186262.6,10,2020,2020-10-16,900.0
2020-10-17,11367.65,152536373.373914,19529685517635.5,10,2020,2020-10-23,900.0
2020-10-18,11513.33,123329197.546717,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-19,11756.88,124604838.001257,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-20,11921.78,142826894.208386,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-21,12813.11,133820562.230618,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-22,12990.25,135616153.975278,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-23,12937.2,129458735.184123,19997335994446.1,10,2020,2020-10-23,900.0
2020-10-24,13126.13,151226967.660464,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-25,13041.21,116523553.554061,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-26,13069.43,109452276.282328,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-27,13646.02,97644048.2374964,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-28,13285.97,100107166.477003,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-29,13462.18,106493994.380387,19997335994446.1,10,2020,2020-10-30,900.0
2020-10-30,13565.95,111689102.026974,19997335994446.1,10,2020,2020-10-30,900.0
