,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
90,1350.0,-0.014965012166573888,0.07322356612711009,-8.881784197001252e-16,0.003829967885853408,1915.4776175136326,3322.8448872006516,-0.4188723092693575,-1.4613665831115938,90,0.8
91,1350.0,0.0029207931412683712,0.02482883942636907,0.0014452342388143746,0.0037460749511780966,1015.6585207624705,2352.9366353712862,0.24766035499076258,-0.7429160262009528,91,0.8
92,1350.0,0.00505512745352823,0.02949528477193211,0.0014452342388155126,0.0037460749511792346,856.6120646826055,2186.773478648166,0.3654725446795515,-0.6198322064060489,92,0.8
93,1350.0,0.015006072130508157,0.038513180616322314,0.002898383491437312,0.005199224203801034,1224.0744806911744,2565.52489829541,0.09327816245098196,-0.9003888135521555,93,0.8
94,1350.0,0.014102760726403048,0.04945627591540268,0.0014452342388154849,0.003746074951179207,1244.0534683008552,2597.824902865486,0.07847891236973686,-0.9243147428633229,94,0.8
95,1350.0,-0.013932692105415909,0.06807890266185508,5.551115123125783e-16,0.0038299678858548514,1863.8094842226615,3273.0726321311163,-0.3805996179427122,-1.424498246023049,95,0.8
96,1350.0,-0.017566509273700244,0.16247159066678118,-1.1934897514720433e-15,0.0038299678858531028,7183.234172958604,8773.571970646033,-4.320914202191559,-5.498942200478543,96,0.8
97,1350.0,0.009518342362204968,0.01365243298459819,0.004356860998862289,0.005121491363917707,1290.678432759058,2614.945093287404,0.04394190165995698,-0.9369963653980768,97,0.8
98,1350.0,0.007068669381798229,0.03960621682813437,0.0014452342388142636,0.0037460749511779856,1526.7927817105672,2884.9615228644984,-0.1309576160819016,-1.137008535455184,98,0.8
99,1350.0,-0.014843362935279474,0.07747214398883853,-9.71445146547012e-16,0.003829967885853325,1578.5904998353037,2970.8370968310746,-0.16932629617429906,-1.200620071726722,99,0.8
100,1350.0,0.18505243519450962,0.019794166493310394,0.030134944167826777,0.00433738904606433,566.8567730417719,1566.0759498097937,0.5801060940431318,-0.16005625911836568,0,0.9
101,1350.0,0.014194783526936006,0.03388397182665881,0.001445234238813986,0.002579064687695698,953.8641499619575,2274.2191890528766,0.29343396299114255,-0.6846068067058345,1,0.9
102,1350.0,-0.010534964026834763,0.047329872836021636,6.661338147750939e-16,0.0018780783163949988,1572.455829756711,2925.2993317190258,-0.1647820961160822,-1.1668883938659451,2,0.9
103,1350.0,0.5572897299061129,0.01316536903208006,0.07805103745035087,0.0021010250518147325,442.61319860130715,921.5494712651574,0.6721383714064391,0.3173707620258093,3,0.9
104,1350.0,0.003272483293620933,0.007701799860808257,0.0014452342388142914,0.0018373149931612542,1739.7900550373522,3055.9317384771393,-0.2887333741017424,-1.2636531396126958,4,0.9
105,1350.0,0.005751077813893433,0.011529066334583839,0.001445234238816262,0.0018373149931632249,1893.550405462392,3208.4327938415545,-0.40262992997214225,-1.3766168843270774,5,0.9
106,1350.0,-0.0032142061025514685,0.015595576297288473,0.0007213043450499113,0.0018576329669094949,2620.2981088544943,3971.863528041765,-0.9409615621144403,-1.9421211318827891,6,0.9
107,1350.0,0.010785688338598057,0.01682644871257034,0.0014452342388152628,0.0018373149931622257,1147.9237088618543,2454.5406823680464,0.14968614158381166,-0.8181782832355899,7,0.9
108,1350.0,0.3879851590887686,0.00027230407172712284,0.07274973752310934,0.00036432821572818935,354.5524063657947,867.6215629631738,0.7373685878771891,0.3573173607680194,8,0.9
109,1350.0,0.00021216348896849454,0.004518572077099871,0.0014452342388144024,0.0018373149931613653,1918.4766232780953,3228.9554899968184,-0.42109379502081135,-1.3918188814791248,9,0.9
110,1350.0,-0.015066272069892448,0.07560175032587448,6.661338147750939e-16,0.0018780783163949988,2876.9657834943037,4254.609644152096,-1.131085765551336,-2.151562699371923,10,0.9
